,param_kernel,mean_train_log_marginal_likelihood,mean_train_mean_squared_error,mean_test_log_marginal_likelihood,mean_test_mean_squared_error,param_alpha,params,std_train_mean_squared_error,std_test_log_marginal_likelihood,std_test_mean_squared_error,rank_test_mean_squared_error,rank_test_log_marginal_likelihood
4875,"1**2 * RationalQuadratic(alpha=1, length_scale=1e-13) + WhiteKernel(noise_level=1e-14)",-70.40665672361891,-5.983529334619397e-17,-70.40665672361891,-0.528546878,5.623413251903491e-09,"{'alpha': 5.623413251903491e-09, 'kernel': 1**2 * RationalQuadratic(alpha=1, length_scale=1e-13) + WhiteKernel(noise_level=1e-14)}",5.703260618529074e-19,0.30461348856211407,0.020097885533192892,1992,1802
4876,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14),-70.40665672361891,-5.983529334619397e-17,-70.40665672361891,-0.528546878,5.623413251903491e-09,"{'alpha': 5.623413251903491e-09, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14)}",5.703260618529074e-19,0.30461348856211407,0.020097885533192892,1992,1802
4879,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14),-70.40665672361891,-5.983529334619397e-17,-70.40665672361891,-0.528546878,5.623413251903491e-09,"{'alpha': 5.623413251903491e-09, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14)}",5.703260618529074e-19,0.30461348856211407,0.020097885533192892,1992,1802
4881,"1**2 * Matern(length_scale=1e-13, nu=1.5) + WhiteKernel(noise_level=1e-14)",-70.40665672361891,-5.983529334619397e-17,-70.40665672361891,-0.528546878,5.623413251903491e-09,"{'alpha': 5.623413251903491e-09, 'kernel': 1**2 * Matern(length_scale=1e-13, nu=1.5) + WhiteKernel(noise_level=1e-14)}",5.703260618529074e-19,0.30461348856211407,0.020097885533192892,1992,1802
4882,"1**2 * RationalQuadratic(alpha=1, length_scale=1e-13) + WhiteKernel(noise_level=1e-14)",-70.40665672361891,-5.983529334619397e-17,-70.40665672361891,-0.528546878,5.623413251903491e-09,"{'alpha': 5.623413251903491e-09, 'kernel': 1**2 * RationalQuadratic(alpha=1, length_scale=1e-13) + WhiteKernel(noise_level=1e-14)}",5.703260618529074e-19,0.30461348856211407,0.020097885533192892,1992,1802
4883,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14),-70.40665672361891,-5.983529334619397e-17,-70.40665672361891,-0.528546878,5.623413251903491e-09,"{'alpha': 5.623413251903491e-09, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14)}",5.703260618529074e-19,0.30461348856211407,0.020097885533192892,1992,1802
4886,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14),-70.40665672361891,-5.983529334619397e-17,-70.40665672361891,-0.528546878,5.623413251903491e-09,"{'alpha': 5.623413251903491e-09, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14)}",5.703260618529074e-19,0.30461348856211407,0.020097885533192892,1992,1802
4888,"1**2 * Matern(length_scale=1e-13, nu=1.5) + WhiteKernel(noise_level=1e-14)",-70.40665672361891,-5.983529334619397e-17,-70.40665672361891,-0.528546878,5.623413251903491e-09,"{'alpha': 5.623413251903491e-09, 'kernel': 1**2 * Matern(length_scale=1e-13, nu=1.5) + WhiteKernel(noise_level=1e-14)}",5.703260618529074e-19,0.30461348856211407,0.020097885533192892,1992,1802
4889,"1**2 * RationalQuadratic(alpha=1, length_scale=1e-13) + WhiteKernel(noise_level=1e-14)",-70.40665672361891,-5.983529334619397e-17,-70.40665672361891,-0.528546878,5.623413251903491e-09,"{'alpha': 5.623413251903491e-09, 'kernel': 1**2 * RationalQuadratic(alpha=1, length_scale=1e-13) + WhiteKernel(noise_level=1e-14)}",5.703260618529074e-19,0.30461348856211407,0.020097885533192892,1992,1802
4890,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14),-70.40665672361891,-5.983529334619397e-17,-70.40665672361891,-0.528546878,5.623413251903491e-09,"{'alpha': 5.623413251903491e-09, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14)}",5.703260618529074e-19,0.30461348856211407,0.020097885533192892,1992,1802
4893,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14),-70.40665672361891,-5.983529334619397e-17,-70.40665672361891,-0.528546878,5.623413251903491e-09,"{'alpha': 5.623413251903491e-09, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14)}",5.703260618529074e-19,0.30461348856211407,0.020097885533192892,1992,1802
4895,"1**2 * Matern(length_scale=1e-13, nu=1.5) + WhiteKernel(noise_level=1e-14)",-70.40665672361891,-5.983529334619397e-17,-70.40665672361891,-0.528546878,5.623413251903491e-09,"{'alpha': 5.623413251903491e-09, 'kernel': 1**2 * Matern(length_scale=1e-13, nu=1.5) + WhiteKernel(noise_level=1e-14)}",5.703260618529074e-19,0.30461348856211407,0.020097885533192892,1992,1802
4896,"1**2 * RationalQuadratic(alpha=1, length_scale=1e-13) + WhiteKernel(noise_level=1e-14)",-70.40665672361891,-5.983529334619397e-17,-70.40665672361891,-0.528546878,5.623413251903491e-09,"{'alpha': 5.623413251903491e-09, 'kernel': 1**2 * RationalQuadratic(alpha=1, length_scale=1e-13) + WhiteKernel(noise_level=1e-14)}",5.703260618529074e-19,0.30461348856211407,0.020097885533192892,1992,1802
4897,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14),-70.40665672361891,-5.983529334619397e-17,-70.40665672361891,-0.528546878,5.623413251903491e-09,"{'alpha': 5.623413251903491e-09, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14)}",5.703260618529074e-19,0.30461348856211407,0.020097885533192892,1992,1802
4900,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14),-70.40665672361891,-1.892155169711139e-16,-70.40665672361891,-0.528546878,1e-08,"{'alpha': 1e-08, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14)}",1.8035273119378915e-18,0.3046134885621129,0.020097885533192892,1992,1802
4902,"1**2 * Matern(length_scale=1e-13, nu=1.5) + WhiteKernel(noise_level=1e-14)",-70.40665672361891,-1.892155169711139e-16,-70.40665672361891,-0.528546878,1e-08,"{'alpha': 1e-08, 'kernel': 1**2 * Matern(length_scale=1e-13, nu=1.5) + WhiteKernel(noise_level=1e-14)}",1.8035273119378915e-18,0.3046134885621129,0.020097885533192892,1992,1802
4903,"1**2 * RationalQuadratic(alpha=1, length_scale=1e-13) + WhiteKernel(noise_level=1e-14)",-70.40665672361891,-1.892155169711139e-16,-70.40665672361891,-0.528546878,1e-08,"{'alpha': 1e-08, 'kernel': 1**2 * RationalQuadratic(alpha=1, length_scale=1e-13) + WhiteKernel(noise_level=1e-14)}",1.8035273119378915e-18,0.3046134885621129,0.020097885533192892,1992,1802
4904,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14),-70.40665672361891,-1.892155169711139e-16,-70.40665672361891,-0.528546878,1e-08,"{'alpha': 1e-08, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14)}",1.8035273119378915e-18,0.3046134885621129,0.020097885533192892,1992,1802
4907,1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14),-70.40665672361891,-1.892155169711139e-16,-70.40665672361891,-0.528546878,1e-08,"{'alpha': 1e-08, 'kernel': 1**2 * RBF(length_scale=1e-13) + WhiteKernel(noise_level=1e-14)}",1.8035273119378915e-18,0.3046134885621129,0.020097885533192892,1992,1802
4909,"1**2 * Matern(length_scale=1e-13, nu=1.5) + WhiteKernel(noise_level=1e-14)",-70.40665672361891,-1.892155169711139e-16,-70.40665672361891,-0.528546878,1e-08,"{'alpha': 1e-08, 'kernel': 1**2 * Matern(length_scale=1e-13, nu=1.5) + WhiteKernel(noise_level=1e-14)}",1.8035273119378915e-18,0.3046134885621129,0.020097885533192892,1992,1802
4910,"1**2 * RationalQuadratic(alpha=1, length_scale=1e-13) + WhiteKernel(noise_level=1e-14)",-70.40665672361891,-1.892155169711139e-16,-70.40665672361891,-0.528546878,1e-08,"{'alpha': 1e-08, 'kernel': 1**2 * RationalQuadratic(alpha=1, length_scale=1e-13) + WhiteKernel(noise_level=1e-14)}",1.8035273119378915e-18,0.3046134885621129,0.020097885533192892,1992,1802
